"year","county","substance","log_rr_median","prob_rr_gt1"
2012,"Highland","psychostimulant",1.65234796598802,0.9838
2012,"Hocking","psychostimulant",1.48385876384956,0.976466666666667
2012,"Holmes","psychostimulant",1.40792777554841,0.967066666666667
2012,"Huron","psychostimulant",1.52092119801878,0.979266666666667
2012,"Jackson","psychostimulant",1.43277674362123,0.9714
2012,"Jefferson","psychostimulant",1.4238723992866,0.9714
2012,"Knox","psychostimulant",1.48033199564985,0.975133333333333
2012,"Lake","psychostimulant",1.75208975233641,0.991933333333333
2012,"Lawrence","psychostimulant",1.45479986048022,0.971933333333333
2012,"Licking","psychostimulant",1.56339404680589,0.983133333333333
2012,"Logan","psychostimulant",1.47375579524396,0.971333333333333
2012,"Lorain","psychostimulant",1.51517223407613,0.9818
2012,"Lucas","psychostimulant",1.27950326402263,0.956
2012,"Madison","psychostimulant",1.47950322482535,0.975466666666667
2012,"Mahoning","psychostimulant",1.61542064118523,0.9858
2012,"Marion","psychostimulant",1.54480757461621,0.978733333333333
2012,"Medina","psychostimulant",1.56219672731783,0.983466666666667
2012,"Meigs","psychostimulant",1.53954271837135,0.977933333333333
2012,"Mercer","psychostimulant",1.38265480650098,0.962066666666667
2012,"Miami","psychostimulant",1.36369317020639,0.964333333333333
2012,"Monroe","psychostimulant",1.44663283741992,0.9714
2012,"Montgomery","psychostimulant",1.41059539494616,0.979466666666667
2012,"Morgan","psychostimulant",1.45721843008777,0.972
2012,"Morrow","psychostimulant",1.4669506739377,0.9744
2012,"Muskingum","psychostimulant",1.35579115676114,0.9632
2012,"Noble","psychostimulant",1.55556238109334,0.980133333333333
2012,"Ottawa","psychostimulant",1.37939857036024,0.959333333333333
2012,"Paulding","psychostimulant",1.46581728210162,0.971733333333333
2012,"Perry","psychostimulant",1.4961106473148,0.9768
2012,"Pickaway","psychostimulant",1.48742340813189,0.976666666666667
2012,"Pike","psychostimulant",1.60888311198442,0.983133333333333
2012,"Portage","psychostimulant",1.39740618430285,0.969066666666667
2012,"Preble","psychostimulant",1.42377876477611,0.9728
2012,"Putnam","psychostimulant",1.37082197863777,0.9606
2012,"Richland","psychostimulant",1.3594378460299,0.9686
2012,"Ross","psychostimulant",1.48105438589538,0.9754
2012,"Sandusky","psychostimulant",1.47920609508449,0.975333333333333
2012,"Scioto","psychostimulant",1.47856304719156,0.975933333333333
2012,"Seneca","psychostimulant",1.33751450937126,0.958933333333333
2012,"Shelby","psychostimulant",1.4319065830212,0.9694
2012,"Stark","psychostimulant",1.54943835120174,0.9854
2012,"Summit","psychostimulant",1.66176527335585,0.992866666666667
2012,"Trumbull","psychostimulant",1.43460561418134,0.974666666666667
2012,"Tuscarawas","psychostimulant",1.39417264072513,0.963466666666667
2012,"Union","psychostimulant",1.41001910303807,0.970333333333333
2012,"Van Wert","psychostimulant",1.4461691055804,0.971
2012,"Vinton","psychostimulant",1.56814241149542,0.980666666666667
2012,"Warren","psychostimulant",1.39548181053198,0.972533333333333
2012,"Washington","psychostimulant",1.43536063159326,0.972333333333333
2012,"Wayne","psychostimulant",1.68227577530621,0.985533333333333
2012,"Williams","psychostimulant",1.44386742563507,0.9698
2012,"Wood","psychostimulant",1.375560288481,0.964733333333333
2012,"Wyandot","psychostimulant",1.44283845058815,0.972333333333333
2013,"Adams","psychostimulant",1.6542783244844,0.985
2013,"Allen","psychostimulant",1.27988789254336,0.9538
2013,"Ashland","psychostimulant",1.30881980793804,0.958066666666667
2013,"Ashtabula","psychostimulant",1.41884322959507,0.972533333333333
2013,"Athens","psychostimulant",1.37681966759745,0.968466666666667
2013,"Auglaize","psychostimulant",1.23174557181741,0.946666666666667
2013,"Belmont","psychostimulant",1.39583728457898,0.9686
2013,"Brown","psychostimulant",1.5517028546901,0.978933333333333
2013,"Butler","psychostimulant",1.66845058950413,0.993266666666667
2013,"Carroll","psychostimulant",1.30922807629816,0.963666666666667
2013,"Champaign","psychostimulant",1.29784341742389,0.958533333333333
2013,"Clark","psychostimulant",1.17657152960813,0.947066666666667
2013,"Clermont","psychostimulant",1.78024462181415,0.9924
2013,"Clinton","psychostimulant",1.50901657664804,0.9768
2013,"Columbiana","psychostimulant",1.40356708108766,0.9702
2013,"Coshocton","psychostimulant",1.42259805465422,0.9736
2013,"Crawford","psychostimulant",1.34887113504121,0.9648
2013,"Cuyahoga","psychostimulant",1.2414055692251,0.980933333333333
2013,"Darke","psychostimulant",1.40665092753647,0.968866666666667
