DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
American Indian or Alaskan Native,Carroll,2018,0,91,1628
Asian or Pacific Islander,Carroll,2018,0,116,1630
Other,Carroll,2018,0,0,1632
Unknown,Carroll,2018,0,0,1634
White,Carroll,2019,1,26462,1638
Black,Carroll,2019,0,310,1640
American Indian or Alaskan Native,Carroll,2019,0,91,1642
Asian or Pacific Islander,Carroll,2019,0,121,1644
Other,Carroll,2019,0,0,1646
Unknown,Carroll,2019,0,0,1648
White,Carroll,2020,1,26366,1652
Black,Carroll,2020,0,332,1654
American Indian or Alaskan Native,Carroll,2020,0,93,1656
Asian or Pacific Islander,Carroll,2020,0,106,1658
Other,Carroll,2020,0,0,1660
Unknown,Carroll,2020,0,0,1662
White,Champaign,2010,0,38485,1680
