DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
Other,Brown,2015,0,0,1492
Unknown,Brown,2015,0,0,1494
White,Brown,2016,0,42824,1498
Black,Brown,2016,0,547,1500
American Indian or Alaskan Native,Brown,2016,0,138,1502
Asian or Pacific Islander,Brown,2016,0,151,1504
Other,Brown,2016,0,0,1506
Unknown,Brown,2016,0,0,1508
White,Brown,2017,4,42708,1512
Black,Brown,2017,0,527,1514
American Indian or Alaskan Native,Brown,2017,1,134,1516
Asian or Pacific Islander,Brown,2017,0,189,1518
Other,Brown,2017,0,0,1520
Unknown,Brown,2017,0,0,1522
White,Brown,2018,6,42739,1526
Black,Brown,2018,1,559,1528
American Indian or Alaskan Native,Brown,2018,0,137,1530
Asian or Pacific Islander,Brown,2018,0,188,1532
Other,Brown,2018,0,0,1534
Unknown,Brown,2018,0,0,1536
White,Brown,2019,3,42577,1540
Black,Brown,2019,0,578,1542
American Indian or Alaskan Native,Brown,2019,0,135,1544
Asian or Pacific Islander,Brown,2019,0,183,1546
Other,Brown,2019,0,0,1548
Unknown,Brown,2019,0,0,1550
White,Butler,2007,0,323637,1568
Black,Butler,2007,0,27258,1570
American Indian or Alaskan Native,Butler,2007,0,1224,1572
Asian or Pacific Islander,Butler,2007,0,9073,1574
Other,Butler,2007,0,0,1576
Unknown,Butler,2007,0,0,1578
White,Butler,2008,0,325031,1582
Black,Butler,2008,0,28328,1584
American Indian or Alaskan Native,Butler,2008,0,1258,1586
Asian or Pacific Islander,Butler,2008,0,9562,1588
Other,Butler,2008,0,0,1590
Unknown,Butler,2008,0,0,1592
White,Butler,2009,0,326124,1596
Black,Butler,2009,0,29384,1598
American Indian or Alaskan Native,Butler,2009,0,1236,1600
Asian or Pacific Islander,Butler,2009,0,9889,1602
Other,Butler,2009,0,0,1604
Unknown,Butler,2009,0,0,1606
White,Butler,2010,0,327299,1610
Black,Butler,2010,0,30222,1612
American Indian or Alaskan Native,Butler,2010,0,1278,1614
Asian or Pacific Islander,Butler,2010,0,10312,1616
Other,Butler,2010,0,0,1618
Unknown,Butler,2010,0,0,1620
White,Butler,2011,0,327361,1624
Black,Butler,2011,0,30850,1626
American Indian or Alaskan Native,Butler,2011,0,1290,1628
Asian or Pacific Islander,Butler,2011,0,10663,1630
Other,Butler,2011,0,0,1632
Unknown,Butler,2011,0,0,1634
White,Butler,2012,0,326667,1638
Black,Butler,2012,0,31563,1640
American Indian or Alaskan Native,Butler,2012,0,1286,1642
Asian or Pacific Islander,Butler,2012,0,11112,1644
Other,Butler,2012,0,0,1646
Unknown,Butler,2012,0,0,1648
