CountyPopCountyName,PopulationYearYear,RacePopRaceDesc,AgeGroupNCHSAgeNCHS,Count,SORT
Gallia,2018,Black,< 1,15,960
Gallia,2018,White,< 1,355,961
Gallia,2019,Black,< 1,11,963
Gallia,2019,White,< 1,340,964
Gallia,2020,Black,< 1,17,966
Gallia,2020,White,< 1,329,967
Geauga,2010,Black,< 1,14,972
Geauga,2010,White,< 1,918,973
Geauga,2011,Black,< 1,13,975
Geauga,2011,White,< 1,901,976
Geauga,2012,Black,< 1,22,978
Geauga,2012,White,< 1,900,979
Geauga,2013,Black,< 1,22,981
Geauga,2013,White,< 1,872,982
Geauga,2014,Black,< 1,15,984
Geauga,2014,White,< 1,897,985
Geauga,2015,Black,< 1,20,987
Geauga,2015,White,< 1,877,988
Geauga,2016,Black,< 1,12,990
Geauga,2016,White,< 1,892,991
Geauga,2017,Black,< 1,12,993
Geauga,2017,White,< 1,913,994
Geauga,2018,Black,< 1,14,996
Geauga,2018,White,< 1,891,997
Geauga,2019,Black,< 1,17,999
Geauga,2019,White,< 1,929,1000
Geauga,2020,Black,< 1,26,1002
Geauga,2020,White,< 1,873,1003
Greene,2010,Black,< 1,172,1008
Greene,2010,White,< 1,1491,1009
Greene,2011,Black,< 1,183,1011
Greene,2011,White,< 1,1461,1012
Greene,2012,Black,< 1,173,1014
Greene,2012,White,< 1,1502,1015
Greene,2013,Black,< 1,172,1017
Greene,2013,White,< 1,1548,1018
Greene,2014,Black,< 1,173,1020
Greene,2014,White,< 1,1582,1021
Greene,2015,Black,< 1,182,1023
Greene,2015,White,< 1,1527,1024
Greene,2016,Black,< 1,180,1026
Greene,2016,White,< 1,1629,1027
Greene,2017,Black,< 1,185,1029
Greene,2017,White,< 1,1462,1030
Greene,2018,Black,< 1,186,1032
Greene,2018,White,< 1,1472,1033
Greene,2019,Black,< 1,213,1035
Greene,2019,White,< 1,1410,1036
Greene,2020,Black,< 1,232,1038
Greene,2020,White,< 1,1387,1039
Guernsey,2010,Black,< 1,21,1044
Guernsey,2010,White,< 1,418,1045
Guernsey,2011,Black,< 1,20,1047
Guernsey,2011,White,< 1,438,1048
Guernsey,2012,Black,< 1,16,1050
Guernsey,2012,White,< 1,433,1051
Guernsey,2013,Black,< 1,23,1053
Guernsey,2013,White,< 1,433,1054
Guernsey,2014,Black,< 1,14,1056
Guernsey,2014,White,< 1,444,1057
Guernsey,2015,Black,< 1,14,1059
Guernsey,2015,White,< 1,444,1060
Guernsey,2016,Black,< 1,20,1062
Guernsey,2016,White,< 1,457,1063
Guernsey,2017,Black,< 1,21,1065
Guernsey,2017,White,< 1,435,1066
Guernsey,2018,Black,< 1,16,1068
Guernsey,2018,White,< 1,405,1069
Guernsey,2019,Black,< 1,22,1071
Guernsey,2019,White,< 1,404,1072
Guernsey,2020,Black,< 1,25,1074
Guernsey,2020,White,< 1,403,1075
Hamilton,2010,Black,< 1,3837,1080
Hamilton,2010,White,< 1,6351,1081
Hamilton,2011,Black,< 1,3883,1083
Hamilton,2011,White,< 1,6579,1084
Hamilton,2012,Black,< 1,3954,1086
Hamilton,2012,White,< 1,6696,1087
Hamilton,2013,Black,< 1,3838,1089
Hamilton,2013,White,< 1,6661,1090
Hamilton,2014,Black,< 1,3884,1092
Hamilton,2014,White,< 1,6564,1093
Hamilton,2015,Black,< 1,3815,1095
Hamilton,2015,White,< 1,6790,1096
Hamilton,2016,Black,< 1,3576,1098
Hamilton,2016,White,< 1,6693,1099
Hamilton,2017,Black,< 1,3584,1101
Hamilton,2017,White,< 1,6469,1102
Hamilton,2018,Black,< 1,3677,1104
Hamilton,2018,White,< 1,6457,1105
Hamilton,2019,Black,< 1,3535,1107
Hamilton,2019,White,< 1,6569,1108
Hamilton,2020,Black,< 1,3402,1110
Hamilton,2020,White,< 1,6618,1111
Hancock,2010,Black,< 1,31,1116
Hancock,2010,White,< 1,841,1117
Hancock,2011,Black,< 1,32,1119
Hancock,2011,White,< 1,811,1120
Hancock,2012,Black,< 1,38,1122
Hancock,2012,White,< 1,816,1123
Hancock,2013,Black,< 1,51,1125
Hancock,2013,White,< 1,838,1126
Hancock,2014,Black,< 1,56,1128
Hancock,2014,White,< 1,853,1129
Hancock,2015,Black,< 1,51,1131
Hancock,2015,White,< 1,844,1132
Hancock,2016,Black,< 1,39,1134
Hancock,2016,White,< 1,811,1135
Hancock,2017,Black,< 1,48,1137
Hancock,2017,White,< 1,855,1138
Hancock,2018,Black,< 1,47,1140
Hancock,2018,White,< 1,807,1141
Hancock,2019,Black,< 1,51,1143
Hancock,2019,White,< 1,789,1144
Hancock,2020,Black,< 1,47,1146
Hancock,2020,White,< 1,770,1147
Hardin,2010,Black,< 1,7,1152
Hardin,2010,White,< 1,406,1153
Hardin,2011,Black,< 1,8,1155
Hardin,2011,White,< 1,365,1156
Hardin,2012,Black,< 1,3,1158
Hardin,2012,White,< 1,366,1159
Hardin,2013,Black,< 1,6,1161
Hardin,2013,White,< 1,395,1162
Hardin,2014,Black,< 1,7,1164
Hardin,2014,White,< 1,397,1165
